episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3296
13,-21.0,3056
14,-21.0,3300
15,-21.0,3200
16,-21.0,3408
17,-21.0,3416
18,-21.0,3056
19,-21.0,3056
20,-21.0,3056
21,-21.0,3056
22,-21.0,3056
23,-21.0,3168
24,-21.0,3056
25,-21.0,3056
26,-21.0,3168
27,-21.0,3056
28,-21.0,3304
29,-21.0,3131
30,-21.0,3168
31,-21.0,3056
32,-21.0,3056
33,-20.0,3348
34,-20.0,3370
35,-21.0,3056
36,-21.0,3304
37,-21.0,3056
38,-21.0,3056
39,-20.0,3370
40,-21.0,3536
41,-21.0,3296
42,-20.0,3373
43,-21.0,3304
44,-21.0,3056
45,-21.0,3296
46,-21.0,3056
47,-20.0,3373
48,-20.0,3482
49,-21.0,3056
50,-21.0,3056
51,-21.0,3131
52,-21.0,3243
53,-21.0,3371
54,-21.0,3245
55,-20.0,3367
56,-21.0,3296
57,-21.0,3056
58,-20.0,3367
59,-19.0,3773
60,-20.0,3367
61,-21.0,3131
62,-21.0,3168
63,-21.0,3296
64,-21.0,3296
65,-20.0,3592
66,-20.0,3700
67,-21.0,3304
68,-21.0,3056
69,-21.0,3296
70,-21.0,3128
71,-20.0,3373
72,-21.0,3296
73,-21.0,3168
74,-21.0,3168
75,-21.0,3056
76,-21.0,3540
77,-21.0,3056
78,-20.0,3479
79,-21.0,3056
80,-21.0,3296
81,-21.0,3168
82,-21.0,3292
83,-21.0,3056
84,-20.0,3350
85,-21.0,3525
86,-20.0,3781
87,-21.0,3304
88,-21.0,3056
89,-21.0,3168
90,-21.0,3168
91,-21.0,3664
92,-21.0,3540
93,-20.0,3367
94,-21.0,3168
95,-21.0,3888
96,-21.0,3168
97,-21.0,3528
98,-21.0,3056
99,-20.0,3367
100,-20.0,3348
101,-20.0,4315
102,-21.0,3520
103,-21.0,3056
104,-21.0,3131
105,-20.0,3367
106,-21.0,3540
107,-20.0,3591
108,-20.0,3367
109,-21.0,3056
110,-21.0,3296
111,-21.0,3648
112,-19.0,3792
113,-21.0,3416
114,-21.0,3131
115,-21.0,3131
116,-21.0,3422
117,-21.0,3371
118,-21.0,3056
119,-20.0,3441
120,-21.0,3408
121,-21.0,3056
122,-20.0,3828
123,-21.0,3488
124,-21.0,3656
125,-21.0,3296
126,-21.0,3056
127,-21.0,3168
128,-21.0,3300
129,-21.0,3891
130,-21.0,3168
131,-21.0,3371
132,-21.0,3296
133,-21.0,3304
134,-21.0,3056
135,-21.0,3131
136,-21.0,3168
137,-21.0,3536
138,-21.0,3056
139,-21.0,3304
140,-21.0,3168
141,-20.0,3348
142,-20.0,3367
143,-21.0,3296
144,-21.0,3056
145,-21.0,3296
146,-21.0,3304
147,-21.0,3304
148,-21.0,3536
149,-21.0,3483
150,-21.0,3300
151,-20.0,3588
152,-21.0,3416
153,-21.0,3296
154,-21.0,3296
155,-21.0,3371
156,-20.0,3917
157,-21.0,3056
158,-21.0,3056
159,-20.0,3367
160,-21.0,3648
161,-21.0,3056
162,-21.0,3296
163,-21.0,3296
164,-21.0,3056
165,-21.0,3168
166,-21.0,3408
167,-21.0,3056
168,-20.0,3367
169,-21.0,3128
170,-21.0,3296
171,-20.0,3794
172,-21.0,3168
173,-20.0,3367
174,-21.0,3056
175,-21.0,3131
176,-21.0,3056
177,-21.0,3168
178,-20.0,3687
179,-21.0,3296
180,-21.0,3416
181,-21.0,3304
182,-21.0,3300
