episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4660
12,-20.0,4103
13,-20.0,3348
14,-21.0,3280
15,-21.0,3296
16,-21.0,3300
17,-21.0,3296
18,-21.0,3168
19,-21.0,3392
20,-21.0,3304
21,-20.0,3614
22,-20.0,3350
23,-21.0,3056
24,-21.0,3168
25,-21.0,3168
26,-21.0,3056
27,-21.0,3056
28,-21.0,3131
29,-21.0,3056
30,-21.0,3056
31,-21.0,3056
32,-21.0,3304
33,-21.0,3168
34,-20.0,3352
35,-21.0,3168
36,-21.0,3168
37,-21.0,3056
38,-21.0,3357
39,-21.0,3056
40,-21.0,3056
41,-21.0,3056
42,-21.0,3168
43,-21.0,3168
44,-21.0,3280
45,-21.0,3168
46,-21.0,3056
47,-21.0,3392
48,-21.0,3056
49,-21.0,3056
50,-21.0,3245
51,-21.0,3412
52,-21.0,3056
53,-21.0,3056
54,-21.0,3056
55,-20.0,3348
56,-21.0,3168
57,-21.0,3056
58,-21.0,3168
59,-21.0,3056
60,-21.0,3168
61,-21.0,3056
62,-21.0,3056
63,-21.0,3056
64,-21.0,3056
65,-21.0,3056
66,-21.0,3056
67,-21.0,3304
68,-21.0,3056
69,-20.0,3485
70,-21.0,3056
71,-21.0,3056
72,-21.0,3168
73,-21.0,3168
74,-21.0,3168
75,-21.0,3296
76,-21.0,3408
77,-21.0,3056
78,-21.0,3056
79,-21.0,3056
80,-21.0,3056
81,-21.0,3056
82,-21.0,3056
83,-20.0,3373
84,-21.0,3888
85,-21.0,3056
86,-21.0,3056
87,-21.0,3296
88,-21.0,3168
89,-21.0,3056
90,-21.0,3056
91,-21.0,3168
92,-21.0,3056
93,-21.0,3056
94,-21.0,3056
95,-21.0,3056
96,-21.0,3056
97,-21.0,3056
98,-21.0,3056
99,-21.0,3304
100,-21.0,3296
101,-21.0,3296
102,-21.0,3776
103,-20.0,3350
104,-21.0,3056
105,-21.0,3599
106,-21.0,3408
107,-21.0,3131
108,-21.0,3296
109,-21.0,3168
110,-21.0,3056
111,-20.0,3367
112,-21.0,3056
113,-21.0,3536
114,-21.0,3056
115,-21.0,3296
116,-21.0,3056
117,-21.0,3245
118,-21.0,3056
119,-21.0,3304
120,-21.0,3540
121,-21.0,3296
122,-21.0,3056
123,-21.0,3280
124,-21.0,3056
125,-21.0,3168
126,-21.0,3296
127,-21.0,3056
128,-21.0,3168
129,-21.0,3056
130,-21.0,3056
131,-21.0,3412
132,-21.0,3304
133,-21.0,3056
134,-21.0,4016
135,-21.0,3056
136,-21.0,3776
137,-21.0,3296
138,-20.0,5061
139,-21.0,3056
140,-21.0,3056
141,-21.0,3408
142,-21.0,3536
143,-21.0,3648
144,-20.0,3675
145,-21.0,3056
146,-21.0,3056
147,-21.0,3056
148,-21.0,3056
149,-21.0,3296
150,-21.0,3776
151,-21.0,3056
152,-21.0,3056
153,-21.0,3542
154,-21.0,3776
155,-21.0,3536
156,-21.0,3056
157,-21.0,3784
158,-21.0,3296
159,-20.0,3373
160,-21.0,3296
161,-21.0,3168
162,-21.0,3536
163,-21.0,3056
164,-21.0,3780
165,-21.0,3056
166,-21.0,3296
167,-21.0,3056
168,-21.0,3536
169,-21.0,3056
170,-21.0,3648
171,-21.0,3296
172,-20.0,3370
173,-21.0,3056
174,-21.0,3408
175,-21.0,3056
176,-21.0,3056
177,-21.0,3168
178,-21.0,3296
179,-21.0,3300
180,-21.0,3536
181,-21.0,3300
182,-21.0,3408
183,-21.0,3056
184,-21.0,3056
