episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3131
13,-21.0,3056
14,-21.0,3168
15,-20.0,3373
16,-20.0,3576
17,-21.0,3168
18,-21.0,3056
19,-21.0,3056
20,-21.0,3056
21,-21.0,3168
22,-21.0,3304
23,-21.0,3520
24,-21.0,3056
25,-21.0,3056
26,-21.0,3168
27,-21.0,3168
28,-21.0,3056
29,-20.0,3367
30,-21.0,3784
31,-21.0,3056
32,-21.0,3056
33,-21.0,3056
34,-20.0,3621
35,-21.0,3304
36,-21.0,3168
37,-20.0,3479
38,-21.0,3056
39,-20.0,3367
40,-21.0,3056
41,-21.0,3056
42,-21.0,3056
43,-21.0,3056
44,-21.0,3371
45,-21.0,3056
46,-21.0,3168
47,-21.0,3056
48,-20.0,3348
49,-21.0,3168
50,-21.0,3056
51,-21.0,3304
52,-21.0,3056
53,-21.0,3056
54,-21.0,3056
55,-21.0,3056
56,-21.0,3056
57,-21.0,3056
58,-21.0,3131
59,-21.0,3056
60,-21.0,3131
61,-21.0,3056
62,-21.0,3056
63,-21.0,3056
64,-21.0,3056
65,-21.0,3296
66,-21.0,3168
67,-21.0,3168
68,-21.0,3056
69,-21.0,3056
70,-21.0,3300
71,-21.0,3056
72,-21.0,3168
73,-21.0,3056
74,-21.0,3056
75,-20.0,3350
76,-21.0,3376
77,-21.0,3300
78,-21.0,3304
79,-21.0,3300
80,-21.0,3056
81,-20.0,3350
82,-21.0,3056
83,-21.0,3300
84,-21.0,3056
85,-20.0,3607
86,-21.0,3296
87,-21.0,3168
88,-21.0,3168
89,-21.0,3056
90,-21.0,3056
91,-21.0,3056
92,-21.0,3296
93,-21.0,3611
94,-21.0,3056
95,-21.0,3056
96,-21.0,3056
97,-21.0,3304
98,-21.0,3168
99,-20.0,3370
100,-21.0,3056
101,-21.0,3056
102,-21.0,3304
103,-21.0,3128
104,-21.0,3536
105,-21.0,3056
106,-21.0,3131
107,-21.0,3168
108,-21.0,3056
109,-21.0,3056
110,-21.0,3056
111,-20.0,3462
112,-21.0,3131
113,-21.0,3056
114,-21.0,3304
115,-21.0,3168
116,-21.0,3056
117,-21.0,3760
118,-20.0,3367
119,-21.0,3544
120,-21.0,3780
121,-21.0,3296
122,-21.0,3296
123,-21.0,3056
124,-21.0,3168
125,-21.0,3056
126,-21.0,3778
127,-21.0,3296
128,-20.0,3370
129,-21.0,3300
130,-21.0,3536
131,-21.0,3296
132,-21.0,3296
133,-21.0,3056
134,-21.0,3056
135,-21.0,3056
136,-21.0,3168
137,-21.0,3304
138,-20.0,3350
139,-20.0,3367
140,-21.0,3056
141,-20.0,3348
142,-21.0,3056
143,-20.0,3435
144,-21.0,3056
145,-21.0,3131
146,-21.0,3296
147,-21.0,3056
148,-21.0,3056
149,-21.0,3056
150,-21.0,3056
151,-21.0,3056
152,-21.0,3056
153,-21.0,4016
154,-21.0,3296
155,-21.0,3648
156,-21.0,3544
157,-21.0,4016
158,-21.0,3056
159,-21.0,3544
160,-21.0,3296
161,-21.0,3544
162,-21.0,3168
163,-21.0,3296
164,-21.0,3168
165,-21.0,3056
166,-21.0,3243
167,-21.0,3056
168,-21.0,3296
169,-21.0,3056
170,-21.0,3168
171,-21.0,3168
172,-21.0,3408
173,-20.0,3588
174,-21.0,3056
175,-21.0,3056
176,-21.0,3056
177,-20.0,3367
178,-21.0,3056
179,-21.0,3056
180,-21.0,3300
181,-21.0,3168
182,-21.0,3300
183,-21.0,3056
184,-21.0,3168
185,-21.0,3056
186,-21.0,3056
