episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-20.0,4079
13,-20.0,3367
14,-20.0,3945
15,-19.0,4225
16,-20.0,4286
17,-20.0,3599
18,-20.0,3902
19,-20.0,4240
20,-21.0,3544
21,-21.0,3536
22,-20.0,3901
23,-21.0,3760
24,-20.0,3924
25,-20.0,3793
26,-20.0,3367
27,-21.0,3597
28,-20.0,4279
29,-21.0,3963
30,-19.0,4207
31,-19.0,3746
32,-21.0,3411
33,-20.0,3373
34,-20.0,4590
35,-20.0,4159
36,-21.0,3597
37,-20.0,3959
38,-20.0,3794
39,-21.0,3375
40,-19.0,3839
41,-21.0,3304
42,-19.0,3842
43,-21.0,3371
44,-20.0,3702
45,-21.0,3731
46,-19.0,4043
47,-21.0,3296
48,-20.0,3915
49,-19.0,3962
50,-20.0,3832
51,-19.0,4132
52,-21.0,3131
53,-21.0,4488
54,-20.0,3482
55,-21.0,3304
56,-18.0,4657
57,-19.0,3818
58,-20.0,3479
59,-20.0,3683
60,-21.0,3509
61,-19.0,3718
62,-21.0,3304
63,-21.0,3371
64,-19.0,3731
65,-21.0,4248
66,-21.0,3300
67,-20.0,4348
68,-21.0,3412
69,-20.0,4027
70,-20.0,3594
71,-21.0,3480
72,-21.0,3528
73,-20.0,4337
74,-21.0,3652
75,-19.0,4176
76,-21.0,3784
77,-20.0,3681
78,-21.0,3296
79,-21.0,3909
80,-20.0,3663
81,-21.0,3355
82,-20.0,3915
83,-20.0,3858
84,-19.0,3774
85,-20.0,3367
86,-21.0,3656
87,-21.0,3296
88,-21.0,3660
89,-19.0,3678
90,-20.0,3722
91,-20.0,3967
92,-21.0,3536
93,-19.0,3758
94,-21.0,3280
95,-16.0,5345
96,-20.0,4397
97,-20.0,3534
98,-20.0,3482
99,-21.0,3652
100,-21.0,3300
101,-21.0,3205
102,-20.0,3367
103,-18.0,4761
104,-19.0,3920
105,-21.0,3530
106,-20.0,3605
107,-21.0,3485
108,-19.0,3900
109,-21.0,3544
110,-19.0,3864
111,-17.0,5914
112,-21.0,3296
113,-20.0,4207
114,-20.0,3967
115,-21.0,3056
116,-21.0,3744
117,-21.0,3056
118,-20.0,3370
119,-20.0,4447
120,-21.0,3056
121,-21.0,3784
122,-21.0,3845
123,-21.0,3544
124,-20.0,3614
125,-21.0,3056
126,-20.0,3921
127,-21.0,3480
128,-19.0,3736
129,-21.0,4000
130,-21.0,3371
131,-21.0,3131
132,-19.0,3891
133,-21.0,3544
134,-21.0,3792
135,-20.0,3367
136,-18.0,4783
137,-21.0,3784
138,-21.0,4264
139,-18.0,4849
140,-21.0,3412
141,-21.0,3240
142,-21.0,4200
143,-21.0,3056
144,-21.0,3544
145,-20.0,3547
146,-21.0,3056
147,-21.0,3648
148,-21.0,3296
149,-20.0,3352
150,-21.0,3536
151,-21.0,4572
152,-19.0,3988
153,-21.0,3056
154,-19.0,4586
155,-20.0,3350
156,-21.0,3056
157,-20.0,4232
158,-20.0,3681
159,-20.0,3961
160,-21.0,3304
161,-18.0,3976
162,-21.0,3296
163,-21.0,3296
164,-19.0,3992
165,-21.0,3056
166,-21.0,3168
167,-21.0,3056
168,-21.0,3780
169,-21.0,3056
170,-20.0,3367
171,-21.0,3131
172,-20.0,3913
173,-21.0,3300
174,-21.0,3131
175,-19.0,3748
176,-19.0,4128
177,-20.0,4213
178,-20.0,4817
179,-18.0,5008
180,-19.0,4940
181,-21.0,5161
182,-18.0,5003
183,-20.0,4596
184,-21.0,3168
185,-20.0,4542
186,-20.0,4539
187,-21.0,4100
188,-20.0,5124
189,-21.0,4341
190,-21.0,4103
191,-21.0,3416
192,-20.0,3828
193,-20.0,3840
194,-21.0,3371
195,-21.0,3955
196,-20.0,4233
197,-21.0,3869
198,-20.0,4585
199,-19.0,4570
200,-20.0,5046
201,-19.0,4534
202,-21.0,4831
203,-21.0,3971
204,-21.0,3544
205,-21.0,4023
206,-21.0,3131
207,-20.0,3507
208,-20.0,4180
