episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-19.0,4488
13,-19.0,4086
14,-21.0,3852
15,-19.0,3748
16,-20.0,3535
17,-21.0,3408
18,-21.0,3408
19,-21.0,3131
20,-20.0,3804
21,-21.0,3544
22,-21.0,3131
23,-21.0,3540
24,-21.0,3168
25,-21.0,3540
26,-21.0,3296
27,-20.0,3422
28,-20.0,3752
29,-20.0,3367
30,-21.0,3056
31,-21.0,3296
32,-20.0,3350
33,-21.0,3300
34,-21.0,3412
35,-21.0,3240
36,-21.0,3131
37,-20.0,3370
38,-19.0,3680
39,-21.0,3300
40,-20.0,3588
41,-21.0,3056
42,-21.0,3304
43,-20.0,3370
44,-21.0,3168
45,-21.0,3416
46,-21.0,3168
47,-21.0,3133
48,-21.0,3128
49,-21.0,3131
50,-21.0,3131
51,-21.0,3168
52,-20.0,3373
53,-21.0,3304
54,-21.0,3300
55,-21.0,4264
56,-21.0,3296
57,-21.0,3056
58,-21.0,3296
59,-21.0,4016
60,-21.0,3296
61,-21.0,3412
62,-21.0,3131
63,-21.0,3056
64,-21.0,3408
65,-21.0,3296
66,-21.0,3056
67,-21.0,3168
68,-21.0,3168
69,-21.0,3056
70,-20.0,3373
71,-21.0,3648
72,-21.0,3648
73,-21.0,3296
74,-21.0,3056
75,-21.0,3296
76,-21.0,3296
77,-21.0,3408
78,-21.0,3296
79,-21.0,3056
80,-20.0,3348
81,-21.0,3056
82,-21.0,3056
83,-21.0,3056
84,-21.0,3296
85,-21.0,3131
86,-21.0,3296
87,-21.0,3648
88,-21.0,3168
89,-21.0,3296
90,-21.0,3296
91,-21.0,3168
92,-21.0,3300
93,-21.0,3056
94,-21.0,3056
95,-21.0,3056
96,-21.0,3056
97,-21.0,3168
98,-21.0,3056
99,-21.0,3056
100,-21.0,3056
101,-20.0,3830
102,-21.0,3056
103,-21.0,3296
104,-21.0,3056
105,-21.0,3056
106,-20.0,3373
107,-21.0,3296
108,-21.0,3056
109,-21.0,3296
110,-21.0,3056
111,-20.0,3373
112,-21.0,3296
113,-21.0,3296
114,-21.0,3168
115,-21.0,3056
116,-21.0,3056
117,-21.0,3056
118,-21.0,3780
119,-20.0,3615
120,-21.0,3056
121,-21.0,3056
122,-20.0,3348
123,-21.0,3168
124,-21.0,3416
125,-20.0,3482
126,-21.0,3056
127,-21.0,3168
128,-21.0,3296
129,-21.0,3056
130,-21.0,3296
131,-21.0,3056
132,-21.0,3296
133,-21.0,3300
134,-21.0,3056
135,-21.0,3296
136,-21.0,3296
137,-21.0,3168
138,-21.0,4016
139,-21.0,3056
140,-21.0,3056
141,-21.0,3056
142,-21.0,3485
143,-21.0,3056
144,-21.0,3056
145,-21.0,3296
146,-21.0,3056
147,-21.0,3296
148,-21.0,3056
149,-21.0,3288
150,-20.0,3538
151,-21.0,3056
152,-21.0,3296
153,-21.0,3056
154,-20.0,3590
155,-21.0,4016
156,-20.0,3348
157,-21.0,3131
158,-21.0,3056
159,-21.0,3304
160,-21.0,3056
161,-21.0,4256
162,-21.0,3296
163,-21.0,3056
164,-20.0,3348
165,-21.0,3168
166,-21.0,3056
167,-21.0,3536
168,-21.0,3524
169,-21.0,3536
170,-21.0,3300
171,-21.0,3056
172,-21.0,3168
173,-21.0,3168
174,-21.0,3056
175,-21.0,3296
176,-21.0,3296
177,-21.0,3536
178,-21.0,3168
179,-21.0,3168
180,-21.0,3056
181,-21.0,3056
182,-21.0,3168
183,-20.0,3370
184,-21.0,3176
185,-21.0,3056
186,-21.0,3648
187,-21.0,3536
188,-21.0,3056
189,-21.0,3168
190,-21.0,3296
191,-21.0,3056
192,-21.0,3056
193,-21.0,3540
194,-21.0,3056
195,-21.0,3168
196,-21.0,3296
197,-20.0,3373
198,-21.0,3168
199,-21.0,3296
200,-21.0,3056
201,-21.0,3056
202,-21.0,3416
203,-21.0,3168
204,-21.0,3536
205,-21.0,3056
206,-21.0,3304
207,-21.0,3296
208,-21.0,3056
