episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-19.0,3748
13,-20.0,3485
14,-21.0,3245
15,-21.0,3056
16,-21.0,3243
17,-21.0,3056
18,-21.0,3304
19,-21.0,3056
20,-21.0,3056
21,-21.0,3056
22,-21.0,3056
23,-21.0,3056
24,-21.0,3056
25,-20.0,3609
26,-21.0,3056
27,-21.0,3056
28,-21.0,3168
29,-21.0,3296
30,-20.0,3350
31,-21.0,3296
32,-21.0,3168
33,-21.0,3168
34,-21.0,3168
35,-21.0,3056
36,-21.0,3056
37,-21.0,3536
38,-21.0,3056
39,-21.0,3300
40,-21.0,3300
41,-21.0,3168
42,-21.0,3056
43,-21.0,3296
44,-21.0,3056
45,-20.0,3851
46,-21.0,3296
47,-21.0,3300
48,-21.0,3168
49,-21.0,3056
50,-21.0,3371
51,-21.0,3536
52,-21.0,3056
53,-21.0,3056
54,-21.0,3056
55,-21.0,3056
56,-21.0,3544
57,-21.0,3304
58,-21.0,3168
59,-21.0,3168
60,-21.0,3168
61,-21.0,3168
62,-21.0,3056
63,-21.0,3296
64,-21.0,3056
65,-21.0,3168
66,-21.0,3296
67,-21.0,3296
68,-21.0,3296
69,-21.0,3056
70,-21.0,3296
71,-21.0,3056
72,-21.0,3056
73,-20.0,3373
74,-21.0,3536
75,-21.0,3056
76,-21.0,3304
77,-21.0,3280
78,-21.0,3168
79,-21.0,3280
80,-21.0,3056
81,-21.0,3056
82,-20.0,3367
83,-21.0,3056
84,-21.0,3168
85,-21.0,3056
86,-21.0,3536
87,-20.0,3367
88,-21.0,3056
89,-21.0,3056
90,-21.0,3056
91,-21.0,3408
92,-21.0,3357
93,-21.0,3536
94,-21.0,3296
95,-21.0,3056
96,-21.0,3056
97,-21.0,3056
98,-21.0,3056
99,-21.0,3200
100,-21.0,3540
101,-21.0,3544
102,-21.0,3296
103,-21.0,3168
104,-21.0,3056
105,-21.0,3056
106,-21.0,3056
107,-21.0,3056
108,-20.0,3615
109,-21.0,3056
110,-21.0,3056
111,-21.0,3056
112,-21.0,3056
113,-20.0,3367
114,-21.0,3056
115,-20.0,3367
116,-21.0,3056
117,-21.0,3056
118,-21.0,3304
119,-21.0,3056
120,-21.0,3056
121,-21.0,3300
122,-21.0,3056
123,-21.0,3056
124,-20.0,3367
125,-21.0,3056
126,-21.0,3056
127,-21.0,3280
128,-21.0,3056
129,-21.0,3168
130,-21.0,3056
131,-21.0,3168
132,-21.0,3296
133,-21.0,3056
134,-21.0,3168
135,-21.0,3168
136,-21.0,3168
137,-21.0,3056
138,-21.0,3056
139,-21.0,3131
140,-21.0,3536
141,-21.0,3056
142,-21.0,3168
143,-21.0,3056
144,-21.0,3780
145,-21.0,3168
146,-21.0,3056
147,-21.0,3172
148,-21.0,3168
149,-21.0,3304
150,-21.0,3056
151,-21.0,3056
152,-21.0,3056
153,-21.0,3056
154,-20.0,4074
155,-21.0,3296
156,-21.0,3056
157,-21.0,3786
158,-21.0,3056
159,-20.0,3679
160,-21.0,3056
161,-21.0,3056
162,-21.0,3648
163,-21.0,3056
164,-21.0,3296
165,-21.0,3056
166,-20.0,3367
167,-21.0,3131
168,-21.0,3056
169,-21.0,3536
170,-21.0,3296
171,-21.0,3296
172,-21.0,3300
173,-21.0,3296
174,-21.0,3056
175,-21.0,3056
176,-21.0,3056
177,-21.0,3056
178,-21.0,3280
179,-21.0,3536
180,-21.0,3056
181,-21.0,3304
182,-21.0,3300
183,-21.0,3056
184,-20.0,3350
185,-21.0,3131
186,-21.0,3168
