episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4788
12,-19.0,3904
13,-21.0,3784
14,-20.0,3507
15,-20.0,3831
16,-20.0,4147
17,-21.0,3400
18,-20.0,3512
19,-21.0,4064
20,-21.0,3536
21,-21.0,3784
22,-21.0,3168
23,-19.0,4703
24,-20.0,3348
25,-21.0,3615
26,-21.0,3131
27,-21.0,3841
28,-20.0,4146
29,-21.0,3888
30,-21.0,3542
31,-21.0,3304
32,-21.0,3284
33,-20.0,3704
34,-19.0,3980
35,-21.0,3648
36,-21.0,3408
37,-21.0,3304
38,-21.0,3859
39,-20.0,3847
40,-21.0,3300
41,-20.0,3607
42,-20.0,3370
43,-20.0,4327
44,-21.0,3056
45,-21.0,3296
46,-21.0,3412
47,-20.0,3911
48,-21.0,3296
49,-21.0,3296
50,-21.0,3888
51,-21.0,3520
52,-21.0,3300
53,-21.0,3296
54,-21.0,3408
55,-21.0,3371
56,-21.0,3776
57,-21.0,3243
58,-21.0,3296
59,-21.0,3168
60,-21.0,3416
61,-21.0,3536
62,-21.0,3542
63,-20.0,3555
64,-21.0,3536
65,-21.0,3168
66,-21.0,3296
67,-21.0,3296
68,-21.0,3128
69,-20.0,3832
70,-21.0,4020
71,-21.0,3056
72,-21.0,3056
73,-20.0,3607
74,-21.0,3373
75,-21.0,3788
76,-20.0,3927
77,-21.0,3536
78,-21.0,3536
79,-20.0,3607
80,-21.0,3056
81,-20.0,4035
82,-20.0,3849
83,-20.0,3350
84,-21.0,3408
85,-21.0,3296
86,-21.0,3412
87,-21.0,3056
88,-21.0,3176
89,-20.0,3588
90,-21.0,3536
91,-21.0,3296
92,-21.0,3296
93,-21.0,3416
94,-21.0,3280
95,-20.0,4188
96,-21.0,3408
97,-18.0,5368
98,-21.0,3768
99,-19.0,4480
100,-21.0,3368
101,-21.0,3613
102,-21.0,3648
103,-20.0,3857
104,-19.0,4100
105,-20.0,4091
106,-20.0,4087
107,-21.0,3056
108,-20.0,4087
109,-21.0,3412
110,-21.0,3056
111,-21.0,3056
112,-20.0,4327
113,-21.0,3056
114,-21.0,3168
115,-20.0,3367
116,-20.0,3350
117,-21.0,3056
118,-21.0,3056
119,-21.0,3056
120,-21.0,3056
121,-21.0,3056
122,-21.0,3536
123,-21.0,3056
124,-21.0,3056
125,-21.0,4451
126,-20.0,3367
127,-21.0,3056
128,-21.0,3296
129,-19.0,4207
130,-21.0,3416
131,-21.0,3168
132,-21.0,3056
133,-21.0,3296
134,-21.0,3056
135,-20.0,4075
136,-21.0,3056
137,-21.0,3784
138,-21.0,3658
139,-21.0,3056
140,-21.0,3056
141,-21.0,3056
142,-20.0,3961
143,-19.0,4964
144,-21.0,3056
145,-21.0,3296
146,-21.0,3176
147,-21.0,3416
148,-21.0,3056
149,-21.0,3056
150,-21.0,3296
151,-19.0,5387
152,-21.0,3056
153,-21.0,3172
154,-21.0,3483
155,-21.0,3528
156,-19.0,5335
157,-21.0,3654
158,-20.0,3373
159,-21.0,3536
160,-21.0,4024
161,-20.0,4205
162,-20.0,4385
163,-20.0,5588
164,-20.0,4908
165,-21.0,3778
166,-19.0,4710
167,-21.0,3738
168,-21.0,3764
169,-17.0,5018
170,-18.0,5610
171,-19.0,5368
172,-21.0,3128
173,-20.0,4660
174,-21.0,5423
175,-21.0,3560
176,-21.0,4684
177,-21.0,3913
178,-20.0,3928
179,-16.0,6424
180,-21.0,4134
181,-21.0,3780
182,-21.0,4270
183,-20.0,4072
184,-20.0,3994
185,-20.0,4238
186,-21.0,4264
187,-21.0,4170
188,-17.0,5752
189,-20.0,3908
190,-21.0,3128
191,-21.0,4952
192,-20.0,4002
193,-20.0,3795
194,-21.0,4738
195,-17.0,5594
196,-21.0,4504
197,-21.0,4943
198,-20.0,5123
199,-17.0,8148
200,-20.0,4576
201,-19.0,6286
202,-20.0,4472
203,-20.0,5028
204,-21.0,5714
205,-21.0,5134
206,-21.0,3408
207,-20.0,5726
208,-21.0,6180
