episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3848
13,-21.0,3648
14,-21.0,3408
15,-21.0,3128
16,-20.0,3373
17,-21.0,3056
18,-21.0,3056
19,-21.0,3168
20,-18.0,3993
21,-21.0,3168
22,-21.0,3056
23,-21.0,3056
24,-21.0,3056
25,-21.0,3056
26,-20.0,3367
27,-21.0,3296
28,-21.0,3304
29,-21.0,3056
30,-21.0,3304
31,-21.0,3056
32,-21.0,3176
33,-21.0,3168
34,-21.0,3168
35,-21.0,3056
36,-21.0,3408
37,-21.0,3536
38,-21.0,3056
39,-21.0,3416
40,-21.0,3540
41,-21.0,3056
42,-21.0,3056
43,-21.0,3168
44,-21.0,3168
45,-21.0,3304
46,-21.0,3168
47,-21.0,3056
48,-21.0,3416
49,-21.0,3056
50,-21.0,3648
51,-21.0,3168
52,-21.0,3056
53,-21.0,3056
54,-21.0,3056
55,-21.0,3280
56,-21.0,3168
57,-21.0,3056
58,-21.0,3544
59,-21.0,3296
60,-21.0,3536
61,-21.0,3168
62,-21.0,3371
63,-21.0,3296
64,-21.0,3056
65,-21.0,3056
66,-20.0,3348
67,-21.0,3168
68,-21.0,3056
69,-21.0,3056
70,-21.0,3776
71,-21.0,3168
72,-21.0,3056
73,-21.0,3965
74,-21.0,3056
75,-21.0,3056
76,-20.0,3367
77,-21.0,3408
78,-21.0,3296
79,-21.0,3536
80,-21.0,3168
81,-21.0,3056
82,-21.0,3056
83,-21.0,3056
84,-21.0,3304
85,-21.0,3056
86,-20.0,3348
87,-21.0,3056
88,-21.0,3056
89,-21.0,3304
90,-21.0,3168
91,-21.0,3800
92,-21.0,3056
93,-21.0,3296
94,-21.0,3304
95,-21.0,3056
96,-21.0,3056
97,-21.0,3056
98,-21.0,3168
99,-21.0,3296
100,-21.0,3776
101,-20.0,3350
102,-20.0,3350
103,-21.0,3304
104,-21.0,3536
105,-21.0,3296
106,-21.0,3056
107,-21.0,3056
108,-21.0,3056
109,-21.0,3056
110,-21.0,3296
111,-21.0,3540
112,-21.0,3056
113,-21.0,3536
114,-21.0,3296
115,-21.0,3056
116,-21.0,3056
117,-21.0,3056
118,-21.0,3536
119,-21.0,3296
120,-21.0,3296
121,-20.0,3367
122,-20.0,3367
123,-21.0,3056
124,-21.0,3056
125,-21.0,3056
126,-21.0,3056
127,-21.0,3056
128,-21.0,3296
129,-21.0,3056
130,-21.0,3280
131,-20.0,3350
132,-21.0,3056
133,-21.0,3056
134,-21.0,3245
135,-21.0,3168
136,-21.0,3317
137,-21.0,3648
138,-21.0,3296
139,-21.0,3056
140,-21.0,3296
141,-21.0,3056
142,-21.0,3296
143,-21.0,3168
144,-21.0,3056
145,-21.0,3296
146,-21.0,3056
147,-21.0,3296
148,-21.0,3296
149,-21.0,3296
150,-21.0,3133
151,-20.0,3367
152,-21.0,3296
153,-21.0,3056
154,-21.0,3056
155,-21.0,3304
156,-21.0,3056
157,-21.0,3056
158,-21.0,3056
159,-21.0,3056
160,-21.0,3168
161,-21.0,3408
162,-21.0,3168
163,-21.0,3056
164,-21.0,3296
165,-21.0,3131
166,-21.0,3168
167,-20.0,3367
168,-21.0,3056
169,-21.0,3056
170,-21.0,3056
171,-21.0,3408
172,-20.0,3373
173,-21.0,3168
174,-21.0,3056
175,-21.0,3056
176,-21.0,3056
177,-21.0,3056
178,-21.0,3888
179,-21.0,3296
180,-21.0,3304
181,-21.0,3056
182,-21.0,3056
183,-21.0,3412
184,-21.0,3056
185,-21.0,3168
