episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3056
13,-21.0,3896
14,-21.0,3296
15,-19.0,4016
16,-20.0,3579
17,-19.0,3680
18,-21.0,3296
19,-21.0,3352
20,-21.0,4225
21,-21.0,3544
22,-21.0,3544
23,-20.0,3572
24,-20.0,3463
25,-21.0,3408
26,-21.0,3056
27,-19.0,4160
28,-19.0,4582
29,-21.0,3056
30,-21.0,3296
31,-21.0,3243
32,-21.0,3784
33,-19.0,4409
34,-21.0,3296
35,-20.0,3367
36,-19.0,3920
37,-21.0,3304
38,-21.0,3131
39,-21.0,3412
40,-21.0,3408
41,-21.0,3788
42,-21.0,3056
43,-21.0,3416
44,-20.0,3462
45,-20.0,3719
46,-21.0,3168
47,-21.0,3168
48,-21.0,3056
49,-21.0,3131
50,-21.0,3056
51,-20.0,3373
52,-21.0,3544
53,-21.0,3168
54,-20.0,3348
55,-20.0,3348
56,-21.0,3296
57,-21.0,3296
58,-21.0,3280
59,-21.0,3131
60,-21.0,3168
61,-21.0,3056
62,-21.0,3296
63,-21.0,3520
64,-21.0,3300
65,-21.0,3056
66,-21.0,3056
67,-21.0,3056
68,-21.0,3296
69,-20.0,3556
70,-21.0,3168
71,-21.0,3056
72,-21.0,3304
73,-19.0,3771
74,-21.0,3304
75,-20.0,3350
76,-21.0,3548
77,-21.0,3788
78,-21.0,3552
79,-21.0,3300
80,-20.0,3851
81,-21.0,3300
82,-21.0,3168
83,-21.0,3131
84,-21.0,3168
85,-21.0,3131
86,-21.0,3300
87,-21.0,3544
88,-21.0,3520
89,-20.0,3862
90,-21.0,3056
91,-21.0,3168
92,-21.0,3300
93,-21.0,3131
94,-21.0,3296
95,-21.0,3296
96,-20.0,3348
97,-21.0,3168
98,-20.0,3348
99,-20.0,3373
100,-21.0,3296
101,-21.0,3056
102,-21.0,3304
103,-21.0,3392
104,-21.0,3648
105,-21.0,3240
106,-21.0,3056
107,-21.0,3296
108,-21.0,3656
109,-20.0,3850
110,-20.0,3374
111,-20.0,3596
112,-21.0,3544
113,-21.0,3296
114,-21.0,3056
115,-20.0,3682
116,-21.0,3056
117,-21.0,3296
118,-21.0,3300
119,-21.0,4016
120,-21.0,3056
121,-21.0,3408
122,-20.0,3373
123,-20.0,3553
124,-21.0,3056
125,-21.0,3168
126,-21.0,3168
127,-21.0,3544
128,-21.0,3056
129,-20.0,3348
130,-21.0,3056
131,-21.0,3168
132,-21.0,3131
133,-20.0,3942
134,-21.0,3056
135,-21.0,3056
136,-21.0,3300
137,-21.0,3408
138,-21.0,3056
139,-21.0,3296
140,-21.0,3056
141,-21.0,3784
142,-21.0,3300
143,-21.0,3392
144,-20.0,3588
145,-21.0,3056
146,-21.0,3784
147,-21.0,3304
148,-21.0,3131
149,-21.0,3168
150,-20.0,3485
151,-21.0,4382
152,-21.0,3611
153,-21.0,3296
154,-20.0,3681
155,-20.0,3350
156,-21.0,3520
157,-21.0,3296
158,-20.0,3479
159,-20.0,3588
160,-21.0,3408
161,-21.0,3296
162,-21.0,3056
163,-20.0,3348
164,-21.0,3300
165,-20.0,4087
166,-21.0,3544
167,-21.0,3552
168,-21.0,3056
169,-21.0,3536
170,-21.0,3131
171,-21.0,3280
172,-20.0,3700
173,-21.0,3168
174,-21.0,3544
175,-21.0,3296
176,-20.0,3348
177,-21.0,3056
178,-21.0,3056
179,-19.0,3727
180,-21.0,3780
181,-21.0,3408
182,-21.0,3056
183,-20.0,4407
184,-21.0,3056
185,-20.0,3675
186,-19.0,3797
187,-21.0,3304
188,-20.0,3832
189,-21.0,3888
190,-21.0,3168
191,-20.0,3615
192,-21.0,3296
193,-21.0,3536
194,-21.0,3056
195,-21.0,3168
196,-20.0,3348
197,-21.0,3412
198,-21.0,3300
199,-21.0,3300
200,-21.0,3371
201,-21.0,3056
202,-21.0,3784
203,-21.0,3536
204,-21.0,3056
205,-20.0,3373
206,-20.0,3367
207,-21.0,3056
208,-20.0,3348
