episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-20.0,3677
13,-20.0,3370
14,-21.0,3168
15,-21.0,3869
16,-20.0,3617
17,-21.0,3371
18,-21.0,3280
19,-21.0,3415
20,-21.0,3416
21,-21.0,3128
22,-21.0,3656
23,-21.0,3616
24,-21.0,3300
25,-21.0,3056
26,-21.0,3248
27,-21.0,3056
28,-21.0,3056
29,-21.0,3371
30,-21.0,3056
31,-21.0,3544
32,-21.0,3592
33,-21.0,3168
34,-20.0,3549
35,-21.0,3056
36,-21.0,3056
37,-21.0,3056
38,-21.0,3056
39,-21.0,3168
40,-21.0,3056
41,-21.0,3056
42,-20.0,3445
43,-21.0,3296
44,-21.0,3056
45,-21.0,3296
46,-21.0,3056
47,-21.0,3540
48,-20.0,3851
49,-21.0,3168
50,-21.0,3056
51,-21.0,3300
52,-21.0,3304
53,-21.0,3056
54,-21.0,3168
55,-21.0,3168
56,-21.0,3355
57,-21.0,3784
58,-21.0,3792
59,-21.0,3168
60,-21.0,3296
61,-21.0,3408
62,-21.0,3540
63,-21.0,3056
64,-21.0,3056
65,-21.0,3300
66,-20.0,3370
67,-21.0,3304
68,-21.0,3408
69,-21.0,3296
70,-21.0,3300
71,-21.0,3300
72,-21.0,3056
73,-20.0,3367
74,-21.0,3168
75,-21.0,3280
76,-21.0,3280
77,-21.0,3168
78,-20.0,3556
79,-21.0,3296
80,-21.0,3168
81,-21.0,3728
82,-21.0,3056
83,-21.0,3174
84,-21.0,3131
85,-21.0,3304
86,-21.0,3056
87,-21.0,3520
88,-20.0,3367
89,-21.0,3128
90,-21.0,3168
91,-21.0,3489
92,-20.0,3556
93,-21.0,3285
94,-21.0,3240
95,-21.0,3056
96,-21.0,3372
97,-21.0,3168
98,-21.0,3280
99,-21.0,3300
100,-21.0,3544
101,-21.0,3664
102,-21.0,3648
103,-21.0,3240
104,-21.0,3168
105,-21.0,3300
106,-21.0,3056
107,-20.0,3479
108,-21.0,3168
109,-20.0,3556
110,-20.0,3724
111,-21.0,3128
112,-21.0,3603
113,-21.0,3168
114,-20.0,3741
115,-21.0,3056
116,-20.0,3481
117,-21.0,3168
118,-21.0,3280
119,-21.0,3280
120,-20.0,3607
121,-21.0,3128
122,-20.0,4087
123,-20.0,3706
124,-21.0,3168
125,-21.0,3318
126,-20.0,4102
127,-21.0,3695
128,-21.0,3168
129,-21.0,3280
130,-20.0,3554
131,-21.0,3469
132,-20.0,3945
133,-21.0,3168
134,-20.0,3482
135,-21.0,3296
136,-21.0,3352
137,-21.0,3392
138,-21.0,3056
139,-21.0,3131
140,-21.0,3723
141,-21.0,3131
142,-21.0,3340
143,-21.0,3531
144,-21.0,3734
145,-21.0,3583
146,-19.0,3792
147,-21.0,3168
148,-20.0,3855
149,-16.0,5129
150,-20.0,3898
151,-21.0,3412
152,-21.0,3280
153,-21.0,3528
154,-21.0,3280
155,-20.0,3785
156,-20.0,4269
157,-20.0,3976
158,-20.0,3705
159,-21.0,3203
160,-20.0,4371
161,-21.0,3693
162,-21.0,4186
163,-18.0,4606
164,-21.0,3635
165,-20.0,3815
166,-21.0,3408
167,-21.0,3480
168,-20.0,4191
169,-21.0,4260
170,-20.0,4242
171,-21.0,3899
172,-20.0,3510
173,-21.0,3490
174,-19.0,4014
175,-21.0,4235
176,-20.0,3817
177,-19.0,4503
178,-21.0,3666
179,-21.0,3469
180,-18.0,4459
181,-17.0,5807
182,-21.0,5304
183,-19.0,4252
184,-21.0,3603
185,-21.0,3362
186,-18.0,4637
187,-20.0,5077
188,-20.0,4155
189,-21.0,4189
190,-19.0,5044
191,-20.0,6168
192,-21.0,4472
193,-21.0,5704
194,-20.0,5761
195,-18.0,5688
196,-20.0,5199
197,-19.0,5725
198,-21.0,5817
199,-15.0,6131
200,-21.0,7288
201,-21.0,4323
202,-21.0,4749
203,-19.0,6548
204,-21.0,4120
205,-21.0,4485
206,-17.0,7253
207,-21.0,6326
208,-21.0,3997
